cell_line,tissue
22RV1,prostate
647-V,Bladder
786-0,kidney
A498,kidney
A549,lung_NSCLC_adenocarcinoma
ACHN,kidney
BFTC-905,Bladder
BT-20,breast
BT-474,breast
BT-549,breast
C32,melanoma
CAKI-1,kidney
CAL-120,breast
CAL-148,breast
CAL-51,breast
Calu-3,lung_NSCLC_adenocarcinoma
Calu-6,lung_NSCLC_adenocarcinoma
CAMA-1,breast
Caov-3,ovary
CCRF-CEM,lymphoblastic_leukemia
COLO-205,large_intestine
DMS-114,lung_small_cell_carcinoma
DU-145,prostate
DU-4475,breast
EKVX,lung_NSCLC_adenocarcinoma
ES-2,ovary
EVSA-T,breast
HCC1143,breast
HCC1187,breast
HCC1395,breast
HCC1419,breast
HCC1428,breast
HCC1500,breast
HCC1569,breast
HCC1806,breast
HCC1937,breast
HCC1954,breast
HCC2998,large_intestine
HCC38,breast
HCC70,breast
HCT-116,large_intestine
HCT-15,large_intestine
HL-60,acute_myeloid_leukaemia
HOP-62,lung_NSCLC_adenocarcinoma
HOP-92,lung_NSCLC_large cell
Hs-578-T,breast
HT-1197,Bladder
HT-1376,Bladder
HT-144,melanoma
HT-29,large_intestine
IGROV-1,ovary
J82,Bladder
K-562,chronic_myeloid_leukaemia
KATOIII,stomach
KM12,large_intestine
KMS-11,myeloma
KU-19-19,Bladder
LNCaP-Clone-FGC,prostate
LoVo,large_intestine
LOXIMVI,melanoma
LS-513,large_intestine
M14,melanoma
MCF7,breast
MDA-MB-157,breast
MDA-MB-175-VII,breast
MDA-MB-231,breast
MDA-MB-361,breast
MDA-MB-415,breast
MDA-MB-436,breast
MDA-MB-453,breast
MDA-MB-468,breast
MFM-223,breast
MOLT-4,lymphoblastic_leukemia
NCI-H1299,lung_NSCLC_large cell
NCI-H1437,lung_NSCLC_adenocarcinoma
NCI-H1563,lung_NSCLC_adenocarcinoma
NCI-H1650,lung_NSCLC_adenocarcinoma
NCI-H1703,lung_NSCLC_adenocarcinoma
NCI-H1793,lung_NSCLC_adenocarcinoma
NCI-H1975,lung_NSCLC_adenocarcinoma
NCI-H2085,lung_NSCLC_adenocarcinoma
NCI-H2122,lung_NSCLC_adenocarcinoma
NCI-H2170,lung_NSCLC_squamous_cell_carcinoma
NCI-H2228,lung_NSCLC_adenocarcinoma
NCI-H226,lung_NSCLC_squamous_cell_carcinoma
NCI-H2291,lung_NSCLC_adenocarcinoma
NCI-H23,lung_NSCLC_adenocarcinoma
NCI-H3122,lung_NSCLC_adenocarcinoma
NCI-H322M,lung_NSCLC_adenocarcinoma
NCI-H358,lung_NSCLC_adenocarcinoma
NCI-H460,lung_NSCLC_large cell
NCI-H520,lung_NSCLC_squamous_cell_carcinoma
NCI-H522,lung_NSCLC_adenocarcinoma
NCI-H747,large_intestine
NCI-H838,lung_NSCLC_adenocarcinoma
NCI-SNU-16,stomach
OCUB-M,breast
OV-90,ovary
OVCAR-3,ovary
OVCAR-4,ovary
OVCAR-5,ovary
OVCAR-8,ovary
PA-1,ovary
PC-3,prostate
RPMI-7951,melanoma
RPMI-8226,myeloma
RT4,Bladder
RXF393,kidney
SF268,glioma
SF295,glioma
SF539,glioma
SHP-77,lung_small_cell_carcinoma
SK-MEL-2,melanoma
SK-MEL-28,melanoma
SK-MEL-30,melanoma
SK-MEL-5,melanoma
SK-MES-1,lung_NSCLC_squamous_cell_carcinoma
SK-OV-3,ovary
SN12C,kidney
SNB75,glioma
SR,lymphoid_neoplasm other
SW48,large_intestine
SW780,Bladder
SW900,lung_NSCLC_squamous_cell_carcinoma
SW948,large_intestine
T-24,Bladder
TCCSUP,Bladder
TK10,kidney
U031,kidney
U251,glioma
UACC-257,melanoma
UACC-62,melanoma
UACC-812,breast
UM-UC-3,Bladder
VCaP,prostate
VM-CUB-1,Bladder
T47D,breast
UACC62,melanoma
ZR751,breast
A2058,melanoma
A2780,ovarian
ES2,ovarian
HCT116,colon
KPL1,breast
MDAMB436,breast
SKOV3,ovarian
VCAP,prostate
LNCAP,prostate
NCIH520,lung
SW620,colon
A427,lung
NCIH2122,lung
A375,melanoma
CAOV3,ovarian
HT144,melanoma
HT29,colon
LOVO,colon
MSTO,lung
NCIH1650,lung
NCIH23,lung
NCIH460,lung
OV90,ovarian
RKO,colon
RPMI7951,melanoma
SKMEL30,melanoma
SKMES1,lung
SW837,colon
